,JD,Band,mag,mag_err,effective_wavelength
1620,5854.359299999996,V,12.14,0.04,5448
1104,5854.360000000001,UVM2,16.1,0.14,2310
1289,5855.081299999998,UVW1,14.94,0.05,2910
1419,5855.082600000002,U,13.52,0.04,3663
1499,5855.083299999998,B,13.2,0.04,4361
895,5855.085299999999,UVW2,16.1,0.07,2120
1621,5855.087299999999,V,12.18,0.04,5448
1105,5855.0903000000035,UVM2,16.4,0.08,2310
1290,5855.1514000000025,UVW1,14.92,0.05,2910
1420,5855.152699999999,U,13.51,0.04,3663
1500,5855.153400000003,B,13.2,0.04,4361
896,5855.155400000003,UVW2,16.14,0.07,2120
1622,5855.157399999996,V,12.16,0.04,5448
1106,5855.160499999998,UVM2,16.37,0.08,2310
1291,5855.8842,UVW1,14.94,0.05,2910
1421,5855.885399999999,U,13.57,0.04,3663
1501,5855.886100000003,B,13.19,0.04,4361
897,5855.887999999999,UVW2,16.14,0.07,2120
1623,5855.889799999997,V,12.2,0.04,5448
1107,5855.892699999997,UVM2,16.42,0.08,2310
1292,5855.951200000003,UVW1,14.93,0.05,2910
1422,5855.952400000002,U,13.59,0.04,3663
1502,5855.953000000001,B,13.22,0.04,4361
898,5855.9547999999995,UVW2,16.12,0.07,2120
1624,5855.9565,V,12.24,0.04,5448
1108,5855.959300000002,UVM2,16.44,0.09,2310
1293,5856.953699999998,UVW1,14.93,0.05,2910
1423,5856.955199999997,U,13.59,0.04,3663
1503,5856.955999999998,B,13.19,0.04,4361
899,5856.958299999998,UVW2,16.12,0.06,2120
1625,5856.9605999999985,V,12.23,0.04,5448
1109,5856.963799999998,UVM2,16.36,0.08,2310
1294,5857.0196,UVW1,14.92,0.06,2910
1424,5857.020199999999,U,13.61,0.04,3663
1504,5857.020499999999,B,13.24,0.04,4361
900,5857.021399999998,UVW2,16.07,0.08,2120
1626,5857.022199999999,V,12.3,0.04,5448
1110,5857.023399999998,UVM2,16.55,0.12,2310
1425,5857.024599999997,U,13.65,0.05,3663
1426,5857.025399999999,U,13.66,0.04,3663
1505,5857.026599999997,B,13.3,0.04,4361
1506,5857.027399999999,B,13.24,0.04,4361
1627,5857.028599999998,V,12.25,0.04,5448
1628,5857.0311,V,12.25,0.04,5448
1295,5858.022499999999,UVW1,15.01,0.06,2910
1427,5858.0230999999985,U,13.62,0.04,3663
1507,5858.023399999998,B,13.31,0.04,4361
901,5858.024299999997,UVW2,16.16,0.09,2120
1629,5858.025099999999,V,12.3,0.04,5448
1111,5858.0262,UVM2,16.45,0.11,2310
1428,5858.027399999999,U,13.56,0.05,3663
1429,5858.028200000001,U,13.63,0.04,3663
295,5858.43,U,13.358,0.064,3663
296,5858.43,B,13.281,0.009,4361
297,5858.43,V,12.152,0.019,5448
298,5858.43,R,11.936,0.013,6407
299,5858.43,I,11.686,0.022,7980
1296,5859.029000000002,UVW1,14.98,0.05,2910
1430,5859.030200000001,U,13.63,0.04,3663
1508,5859.0308,B,13.27,0.04,4361
902,5859.032599999999,UVW2,16.2,0.07,2120
1630,5859.034299999999,V,12.27,0.04,5448
1112,5859.037100000001,UVM2,16.55,0.09,2310
1297,5859.502,UVW1,15.06,0.05,2910
1431,5859.503100000002,U,13.66,0.04,3663
1509,5859.503700000001,B,13.28,0.04,4361
903,5859.505299999997,UVW2,16.24,0.07,2120
1631,5859.506999999998,V,12.29,0.04,5448
1113,5859.5095,UVM2,16.55,0.09,2310
1432,5859.561699999998,U,13.62,0.04,3663
1510,5859.561999999998,B,13.29,0.04,4361
904,5859.563099999999,UVW2,16.27,0.09,2120
1632,5859.564100000003,V,12.31,0.04,5448
1114,5859.565900000001,UVM2,16.62,0.11,2310
1433,5859.5677,U,13.61,0.05,3663
1434,5859.568500000001,U,13.67,0.04,3663
1511,5859.5697,B,13.27,0.04,4361
654,5859.57,K,11.927,0.012,21900
653,5859.57,H,11.708,0.008,16300
652,5859.57,J,12.92,0.011,12200
1512,5859.570500000002,B,13.25,0.04,4361
1633,5859.571600000003,V,12.33,0.04,5448
1634,5859.573400000001,V,12.3,0.04,5448
1298,5860.630499999999,UVW1,15.21,0.05,2910
1435,5860.632400000002,U,13.77,0.04,3663
1513,5860.633399999999,B,13.42,0.04,4361
905,5860.636200000001,UVW2,16.53,0.07,2120
1635,5860.639000000003,V,12.41,0.04,5448
1115,5860.642999999996,UVM2,16.75,0.09,2310
1436,5861.0985999999975,U,13.7,0.05,3663
1437,5861.099399999999,U,13.69,0.04,3663
1514,5861.100599999998,B,13.22,0.04,4361
1515,5861.1014,B,13.28,0.04,4361
1636,5861.102500000001,V,12.36,0.04,5448
1637,5861.103499999997,V,12.34,0.04,5448
1299,5861.767200000002,UVW1,15.09,0.05,2910
1438,5861.769,U,13.72,0.04,3663
1516,5861.769899999999,B,13.37,0.04,4361
906,5861.772599999997,UVW2,16.25,0.07,2120
1638,5861.775300000001,V,12.4,0.04,5448
1116,5861.779600000002,UVM2,16.67,0.09,2310
1439,5862.233899999999,U,13.77,0.05,3663
1440,5862.234700000001,U,13.73,0.04,3663
1517,5862.2359,B,13.37,0.04,4361
1518,5862.236700000001,B,13.29,0.04,4361
1639,5862.2379,V,12.36,0.04,5448
1640,5862.239500000003,V,12.37,0.04,5448
1300,5862.502800000002,UVW1,15.13,0.05,2910
1441,5862.5046,U,13.76,0.04,3663
1519,5862.505599999997,B,13.39,0.04,4361
907,5862.508300000001,UVW2,16.28,0.07,2120
1641,5862.510999999999,V,12.44,0.04,5448
1117,5862.515099999997,UVM2,16.6,0.09,2310
1442,5863.638700000003,U,13.69,0.05,3663
1443,5863.6394999999975,U,13.72,0.04,3663
1520,5863.640700000004,B,13.34,0.04,4361
1521,5863.641499999998,B,13.32,0.04,4361
1642,5863.642599999999,V,12.53,0.04,5448
1643,5863.644,V,12.42,0.04,5448
1301,5864.376600000003,UVW1,15.21,0.05,2910
1444,5864.378499999999,U,13.8,0.04,3663
1522,5864.379399999998,B,13.4,0.04,4361
908,5864.3822,UVW2,16.29,0.07,2120
1644,5864.385000000002,V,12.47,0.04,5448
1118,5864.389300000003,UVM2,16.68,0.09,2310
1445,5864.507700000002,U,13.85,0.05,3663
1446,5864.508500000004,U,13.76,0.04,3663
1523,5864.509700000002,B,13.46,0.04,4361
1524,5864.510499999997,B,13.36,0.04,4361
1645,5864.511599999998,V,12.48,0.04,5448
1646,5864.513200000001,V,12.44,0.04,5448
1302,5864.709699999999,UVW1,15.18,0.05,2910
1447,5864.7117,U,13.79,0.04,3663
1525,5864.712599999999,B,13.43,0.04,4361
909,5864.715499999998,UVW2,16.41,0.07,2120
1647,5864.7183,V,12.5,0.04,5448
1119,5864.722300000001,UVM2,16.8,0.1,2310
1448,5866.113100000002,U,13.8,0.05,3663
1449,5866.113899999997,U,13.89,0.04,3663
1526,5866.115100000003,B,13.39,0.04,4361
1527,5866.115899999997,B,13.38,0.04,4361
1648,5866.116999999998,V,12.46,0.04,5448
1649,5866.118699999999,V,12.49,0.04,5448
1303,5866.382599999997,UVW1,15.24,0.05,2910
1450,5866.384400000003,U,13.8,0.04,3663
1528,5866.385300000002,B,13.42,0.04,4361
910,5866.387999999999,UVW2,16.42,0.07,2120
1650,5866.390700000004,V,12.52,0.04,5448
1120,5866.3946,UVM2,16.68,0.09,2310
1451,5866.715199999999,U,13.76,0.05,3663
1452,5866.716,U,13.82,0.04,3663
1529,5866.717100000002,B,13.42,0.04,4361
1530,5866.718000000001,B,13.39,0.04,4361
1651,5866.719100000002,V,12.58,0.04,5448
1652,5866.720800000003,V,12.52,0.04,5448
1304,5866.855199999998,UVW1,15.32,0.06,2910
1453,5866.856,U,13.81,0.04,3663
1531,5866.856399999997,B,13.43,0.04,4361
911,5866.857600000003,UVW2,16.47,0.09,2120
1653,5866.858899999999,V,12.53,0.04,5448
1121,5866.860800000002,UVM2,16.91,0.12,2310
1305,5867.455000000002,UVW1,15.32,0.05,2910
1454,5867.456400000003,U,13.77,0.04,3663
1532,5867.457199999997,B,13.44,0.04,4361
912,5867.459300000002,UVW2,16.45,0.08,2120
1654,5867.461300000003,V,12.54,0.04,5448
1122,5867.464599999999,UVM2,16.8,0.1,2310
1455,5867.518799999998,U,13.88,0.05,3663
1456,5867.5196,U,13.85,0.04,3663
1533,5867.520799999998,B,13.42,0.04,4361
1534,5867.5216,B,13.38,0.04,4361
1655,5867.522799999999,V,12.56,0.04,5448
1656,5867.523999999998,V,12.55,0.04,5448
1306,5867.586199999998,UVW1,15.28,0.05,2910
1457,5867.588300000003,U,13.83,0.04,3663
1535,5867.5893,B,13.46,0.04,4361
913,5867.592400000001,UVW2,16.52,0.07,2120
1657,5867.595600000001,V,12.57,0.04,5448
1123,5867.600100000003,UVM2,16.89,0.1,2310
1307,5867.987200000003,UVW1,15.3,0.06,2910
1458,5867.9879,U,13.85,0.04,3663
1536,5867.988299999997,B,13.37,0.04,4361
914,5867.989300000001,UVW2,16.5,0.1,2120
1658,5867.990400000002,V,12.57,0.04,5448
1124,5867.992200000001,UVM2,16.83,0.12,2310
1459,5868.522299999997,U,13.9,0.06,3663
1460,5868.5230999999985,U,13.91,0.04,3663
1537,5868.5242,B,13.49,0.04,4361
1538,5868.5250000000015,B,13.4,0.04,4361
1659,5868.5262,V,12.61,0.04,5448
1660,5868.5274999999965,V,12.58,0.04,5448
1308,5868.6567,UVW1,15.3,0.05,2910
1461,5868.658499999998,U,13.87,0.04,3663
1539,5868.659500000002,B,13.5,0.04,4361
915,5868.662199999999,UVW2,16.55,0.08,2120
1661,5868.664900000003,V,12.6,0.04,5448
1125,5868.669099999999,UVM2,16.93,0.1,2310
1309,5872.608800000002,UVW1,15.43,0.05,2910
1462,5872.6106,U,13.96,0.04,3663
1540,5872.6115999999965,B,13.56,0.04,4361
916,5872.614300000001,UVW2,16.66,0.08,2120
1662,5872.616999999998,V,12.67,0.04,5448
1126,5872.620600000002,UVM2,17.05,0.12,2310
1310,5875.220300000001,UVW1,15.98,0.1,2910
1463,5875.2211000000025,U,14.03,0.05,3663
1541,5875.2215,B,13.58,0.04,4361
917,5875.222600000001,UVW2,16.52,0.1,2120
1663,5875.2238,V,12.67,0.04,5448
1127,5875.2255000000005,UVM2,17.32,0.16,2310
1311,5877.432699999998,UVW1,15.59,0.06,2910
1464,5877.434500000003,U,14.14,0.04,3663
1542,5877.435400000002,B,13.66,0.04,4361
918,5877.438099999999,UVW2,16.69,0.08,2120
1664,5877.440799999997,V,12.84,0.04,5448
1128,5877.4446000000025,UVM2,17.13,0.12,2310
1312,5878.7004000000015,UVW1,15.67,0.06,2910
1465,5878.7022,U,14.12,0.04,3663
1543,5878.703099999999,B,13.61,0.04,4361
919,5878.705699999999,UVW2,16.9,0.09,2120
1665,5878.708400000003,V,12.87,0.04,5448
1129,5878.712099999997,UVM2,17.32,0.14,2310
1313,5881.447099999998,UVW1,15.62,0.06,2910
1466,5881.4490000000005,U,14.2,0.04,3663
1544,5881.4499,B,13.62,0.04,4361
920,5881.452700000002,UVW2,16.99,0.1,2120
1666,5881.455499999996,V,12.94,0.04,5448
1130,5881.459300000002,UVM2,17.36,0.15,2310
1314,5882.533199999998,UVW1,15.66,0.06,2910
