Time,Effective Wavelength,flux
6085.423699999999,6407.0,3.201904031285893e-16
6085.423699999999,7980.0,3.2898668272118866e-16
6085.423699999999,12200.0,1.0742162020446578e-16
6085.423699999999,16300.0,3.589132393171567e-16
6085.423699999999,21900.0,9.976170721990422e-16
6086.423699999999,2120.0,1.7932487485815535e-15
6086.423699999999,2310.0,1.4753411650743797e-15
6086.423699999999,2910.0,9.078936307228776e-16
6086.423699999999,3663.0,7.564682697476488e-16
6086.423699999999,4361.0,1.1699619313657825e-15
6086.423699999999,5448.0,7.790065877812446e-16
6086.423699999999,6407.0,3.166807541605191e-16
6086.423699999999,7980.0,3.2931188126598304e-16
6086.423699999999,12200.0,1.0758263994167333e-16
6086.423699999999,16300.0,3.5569302884472313e-16
6086.423699999999,21900.0,9.91782236811611e-16
6087.423699999999,2120.0,1.799258470550103e-15
6087.423699999999,2310.0,1.4813957233842444e-15
6087.423699999999,2910.0,9.149406775525682e-16
6087.423699999999,3663.0,7.630874754277407e-16
6087.423699999999,4361.0,1.170728719934491e-15
6087.423699999999,5448.0,7.693446174459481e-16
6087.423699999999,6407.0,3.1272109882387113e-16
6087.423699999999,7980.0,3.300638555193766e-16
6087.423699999999,12200.0,1.0771829159924784e-16
6087.423699999999,16300.0,3.5251960689978727e-16
6087.423699999999,21900.0,9.85998958585273e-16
6088.423699999999,2120.0,1.805249474321996e-15
6088.423699999999,2310.0,1.4874126491825602e-15
6088.423699999999,2910.0,9.218262040186082e-16
6088.423699999999,3663.0,7.689754900920175e-16
6088.423699999999,4361.0,1.1772413052442175e-15
6088.423699999999,5448.0,7.617650204323969e-16
6088.423699999999,6407.0,3.082648393572788e-16
6088.423699999999,7980.0,3.315012930631483e-16
6088.423699999999,12200.0,1.0782952790752716e-16
6088.423699999999,16300.0,3.4939214394286846e-16
6088.423699999999,21900.0,9.802667940085502e-16
6089.423699999999,2120.0,1.8112133266180384e-15
6089.423699999999,2310.0,1.4933827981080567e-15
6089.423699999999,2910.0,9.285374854089307e-16
6089.423699999999,3663.0,7.741554133591281e-16
6089.423699999999,4361.0,1.1937438061095136e-15
6089.423699999999,5448.0,7.575214876366911e-16
6089.423699999999,6407.0,3.0314669286121656e-16
6089.423699999999,7980.0,3.3422233205327533e-16
6089.423699999999,12200.0,1.0791725415018311e-16
6089.423699999999,16300.0,3.4630982576906363e-16
6089.423699999999,21900.0,9.745853031263634e-16
6090.423699999999,2120.0,1.8171418258111267e-15
6090.423699999999,2310.0,1.4992973510477554e-15
6090.423699999999,2910.0,9.350631307778416e-16
6090.423699999999,3663.0,7.786515500980623e-16
6090.423699999999,4361.0,1.2403129838728159e-15
6090.423699999999,5448.0,7.626222223773574e-16
6090.423699999999,6407.0,2.9651302548391145e-16
6090.423699999999,7980.0,3.4090667785510293e-16
6090.423699999999,12200.0,1.07982331819669e-16
6090.423699999999,16300.0,3.432718532682918e-16
6090.423699999999,21900.0,9.689540495283637e-16
6091.423699999999,2120.0,1.823027020084986e-15
6091.423699999999,2310.0,1.5051478350874839e-15
6091.423699999999,2910.0,9.413930542498313e-16
6091.423699999999,3663.0,7.82489478579403e-16
6091.423699999999,4361.0,1.1843567355206028e-15
6091.423699999999,5448.0,7.361410454433731e-16
6091.423699999999,6407.0,2.944632868723287e-16
6091.423699999999,7980.0,3.3377130573206027e-16
6091.423699999999,12200.0,1.0802558189429528e-16
6091.423699999999,16300.0,3.402774421875241e-16
6091.423699999999,21900.0,9.63372600331958e-16
6092.423699999999,2120.0,1.8288612239346383e-15
6092.423699999999,2310.0,1.510926141760757e-15
6092.423699999999,2910.0,9.475184381019771e-16
6092.423699999999,3663.0,7.856960659891036e-16
6092.423699999999,4361.0,1.1168390435814218e-15
6092.423699999999,5448.0,7.062426244817538e-16
6092.423699999999,6407.0,2.928988635742899e-16
6092.423699999999,7980.0,3.2479518205450574e-16
6092.423699999999,12200.0,1.0804778778208831e-16
6092.423699999999,16300.0,3.3732582289608737e-16
6092.423699999999,21900.0,9.578405261730789e-16
6093.423699999999,2120.0,1.834637032946884e-15
6093.423699999999,2310.0,1.5166245425482388e-15
6093.423699999999,2910.0,9.534316891102717e-16
6093.423699999999,3663.0,7.882994265190635e-16
6093.423699999999,4361.0,1.0677517292639223e-15
6093.423699999999,5448.0,6.823302350097408e-16
6093.423699999999,6407.0,2.9036640705422237e-16
6093.423699999999,7980.0,3.18172264109244e-16
6093.423699999999,12200.0,1.0804969797627576e-16
6093.423699999999,16300.0,3.344162401542553e-16
6093.423699999999,21900.0,9.523574011809073e-16
6094.423699999999,2120.0,1.8403473368646456e-15
6094.423699999999,2310.0,1.5222357017275946e-15
6094.423699999999,2910.0,9.591263895049357e-16
6094.423699999999,3663.0,7.90328821056924e-16
6094.423699999999,4361.0,1.0271644949689389e-15
6094.423699999999,5448.0,6.613739435032114e-16
6094.423699999999,6407.0,2.8729897402329134e-16
6094.423699999999,7980.0,3.126363106190971e-16
6094.423699999999,12200.0,1.0803202845402193e-16
6094.423699999999,16300.0,3.3154795288387166e-16
6094.423699999999,21900.0,9.469228029803505e-16
6095.423699999999,2120.0,1.8459853309020817e-15
6095.423699999999,2310.0,1.52775268660683e-15
6095.423699999999,2910.0,9.645972436629147e-16
6095.423699999999,3663.0,7.91814501521177e-16
6095.423699999999,4361.0,9.91842511574828e-16
6095.423699999999,5448.0,6.423729163644215e-16
6095.423699999999,6407.0,2.838401462645505e-16
6095.423699999999,7980.0,3.0778629999743186e-16
6095.423699999999,12200.0,1.0799546485024286e-16
6095.423699999999,16300.0,3.287202339424516e-16
6095.423699999999,21900.0,9.415363126602044e-16
6096.423699999999,2120.0,1.8515445253507253e-15
6096.423699999999,2310.0,1.5331689752350036e-15
6096.423699999999,2910.0,9.698400215985394e-16
6096.423699999999,3663.0,7.927875065828208e-16
6096.423699999999,4361.0,9.60229880087628e-16
6096.423699999999,5448.0,6.248388075764277e-16
6096.423699999999,6407.0,2.800593383274478e-16
6096.423699999999,7980.0,3.0343710993003305e-16
6096.423699999999,12200.0,1.0794066443219464e-16
6096.423699999999,16300.0,3.2593236989817494e-16
6096.423699999999,21900.0,9.361975147673404e-16
6097.423699999999,2120.0,1.8570187534815853e-15
6097.423699999999,2310.0,1.5384784616937e-15
6097.423699999999,2910.0,9.748515001098905e-16
6097.423699999999,3663.0,7.932794184640775e-16
6097.423699999999,4361.0,9.314248602885418e-16
6097.423699999999,5448.0,6.084843218749677e-16
6097.423699999999,6407.0,2.759956096098599e-16
6097.423699999999,7980.0,2.9948763812030173e-16
6097.423699999999,12200.0,1.078682578973636e-16
6097.423699999999,16300.0,3.23183660810175e-16
6097.423699999999,21900.0,9.309059972898706e-16
6098.423699999999,2120.0,1.862402177798005e-15
6098.423699999999,2310.0,1.5436754590866918e-15
6098.423699999999,2910.0,9.796294023994339e-16
6098.423699999999,3663.0,7.933220924490998e-16
6098.423699999999,4361.0,9.04841404350492e-16
6098.423699999999,5448.0,5.93119920130458e-16
6098.423699999999,6407.0,2.7167172910958146e-16
6098.423699999999,7980.0,2.9587782271820217e-16
6098.423699999999,12200.0,1.0777885101335592e-16
6098.423699999999,16300.0,3.2047342000868736e-16
6098.423699999999,21900.0,9.256613516396155e-16
6099.423699999999,2120.0,1.8676892946615884e-15
6099.423699999999,2310.0,1.5487547003640795e-15
6099.423699999999,2910.0,9.841723368152927e-16
6099.423699999999,3663.0,7.929473715723518e-16
6099.423699999999,4361.0,8.800666336680588e-16
6099.423699999999,5448.0,5.78610179525211e-16
6099.423699999999,6407.0,2.6709950346883186e-16
